date,Q_total,Q_sensible,Q_latent,outdoor_air_flow,heating_setpoint,cooling_setpoint,humidifying_setpoint,dehumidifying_setpoint,state
2001-01-08 19:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-08 20:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-08 21:30:00,428.86184067434715,428.86184067434715,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-08 22:30:00,660.329412507851,660.329412507851,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-08 23:30:00,804.0347086871425,804.0347086871425,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-09 00:30:00,904.2851665256603,904.2851665256603,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-09 01:30:00,978.5637814361999,978.5637814361999,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-09 02:30:00,1034.6367248446186,1034.6367248446186,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-09 03:30:00,1083.626107153461,1083.626107153461,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-09 04:30:00,1122.1346585592391,1122.1346585592391,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-09 05:30:00,1160.8839477083839,1160.8839477083839,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-09 06:30:00,1196.127456774333,1196.127456774333,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-09 07:30:00,1232.878819052591,1232.878819052591,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-09 08:30:00,1209.747324478907,1209.747324478907,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-09 09:30:00,155.47513627854096,155.47513627854096,0.0,0.0,20.0,27.0,0.0,100.0,1.0
2001-01-09 10:30:00,0.0,0.0,0.0,0.0,20.0,27.0,0.0,100.0,3.0
2001-01-09 11:30:00,-287.5214369495143,-287.5214369495143,0.0,0.0,20.0,27.0,0.0,100.0,-1.0
